recording_id	recording_title	performer_name	label_name	catalog_number	source_id	source_reference	confidence	review_status
REC000669	Cariño Falso	Cuco Y Lupe	Peerless	10033-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000681	Cariñoso	Orquesta De Juan S. Garrido	Peerless	2048	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000682	Carlos Arruza	Mariachi Oro Y Plata De Pepe Chávez	Peerless	2046	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000696	Carta Fatal	Cuco Y Lupe	Peerless	10034-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000701	Carta Y Contestacion De Eufemia	Beatriz Adriana Y Pedro Infante	Peerless	1029-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000716	Cañitas	Mariachi Oro Y Plata De Pepe Chávez	Peerless	2046	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000730	Cha Chacha De Los Cariñosos	Marimba Orquesta De Los Hermanos Paniagua	Peerless	4665A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000735	Chaflan	Martin Y Eloisa	Peerless	1824	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000736	Chain Suby	Orquesta De Miguel Angel Pazos	Peerless	4267-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000738	Changuito’s Suby	Orquesta De Miguel Angel Pazos	Peerless	4325-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000739	Chapala	Laurita y Ray	Peerless	2816	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000741	Chapultepec	Laurita y Ray	Peerless	2816	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000753	Chulo Mi Rancho	Laurita y Ray	Peerless	2584	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000763	Cielo Andaluz	Mariachi Oro Y Plata De Pepe Chávez	Peerless	2046	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000785	Clavelito	Orquesta De Antonio Escobar	Peerless	2343	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000786	Club Verde	Orquesta Marimba De Abel Dominguez	Peerless	1761	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000791	Cogele Bien El Compas	Marimba Orquesta De Hermanos Paniagua	Peerless	4692B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000800	Como Fué	Cuarteto Armonico	Peerless	4414-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000809	Como Que No!	La Panchita Y Amapola	Peerless	2634	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000813	Como Una Colilla	El Charro Y La Adelita	Peerless	5045	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000816	Compadecete Mujer	Angelina Y Tono	Peerless	2478	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000822	Comprendeme	Orquesta De Memo Salamanca	Peerless	6109	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000831	Con La Esperanza	Martin Y Malena	Peerless	2112	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000835	Con Mi 30-30	Martin Y Malena	Peerless	2711	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000843	Con Rabia Y Despecho	Dueto Adan Y Eva	Peerless	3764	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000847	Conchita	Martin Y Catita	Peerless	2403	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000871	Consuelito	Martin Y Eloisa	Peerless	1877	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000881	Contigo A La Distancia	Cuarteto Armonico	Peerless	4186-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000885	Copacabana	Cuarteto Armonico	Peerless	4296-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000888	Copla Numero Dos	Orquesta De Ismael Diaz	Peerless	4610B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000915	Corona De Espadas	Dueto Blanco Y Negro	Peerless	5001	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000919	Corrido A La Noria	Poncho Y Martha	Peerless	LPL-325	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000923	Corrido Adolfo Ruiz Cortines	Cuarteto Orizaba	Peerless	PS-4	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000928	Corrido De Arnulfo Gonzalez	Poncho Y Martha	Peerless	LPL-325	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000929	Corrido De Cananea	Martin Y Malena	Peerless	1990	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000931	Corrido De Cananea	Martin Y Catita	Peerless	3796	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000941	Corrido De Elena	Angelina Y Tono	Peerless	2613	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000942	Corrido De Heraclio Bernal	Dueto Adan Y Eva	Peerless	4154-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000945	Corrido de Lopez Mateos Soy Puro Mexicano	Luis Aguilar - Emilio Galvez y Roberto G. Rivera	Peerless	PS-18a	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000946	Corrido de Lopez Mateos Soy Puro Mexicano	Luis Aguilar - Emilio Galvez y Roberto G. Rivera	Peerless	PS-18b	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000949	Corrido De Lupe Velez	Martin Y Malena	Peerless	2161	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000954	Corrido De Nicolas Zurdo Flores	Dueto Adan Y Eva	Peerless	4154-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000959	Corrido De Rafaelita	Angelina Y Tono	Peerless	2470	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000964	Corrido De Valente Quintero	Angelina Y Tono	Peerless	2354	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000970	Corrido Del Cantador	Martin Y Malena	Peerless	2377	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000975	Corrido Del Potrero Del Llano	Martin Y Eloisa	Peerless	1856	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000977	Corrido Luis Coronado	Angelina Y Tono	Peerless	2768	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000979	Corrido Villista	Angelina Y Tono	Peerless	2237	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001024	Cuando Nadie Te Quiera	Dueto Blanco Y Negro	Peerless	5009	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001034	Cuando Salgo A Los Campos	Rodolfo y Beatriz	Peerless	3289	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001072	Cuatro Puñales	Martin Y Eloisa	Peerless	1752	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001073	Cuatro Vidas	Martin Y Eloisa	Peerless	1945	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001078	Cucurrucucu Paloma	Lola Beltran Y Hnos. Michel	Peerless	4426	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001083	Cucurucucu Paloma	Lola Beltran Y Hnos. Michel	Peerless	4426-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001095	Cumparsita	Orquesta De Abel Domínguez	Peerless	1973	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
