unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status	target_primary_group_id	target_primary_performer_id	unit0145_status
UNIT0113-17-031	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	9. Muchachita Celosa - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-032	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	10. Entre Que Si Y Que No - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-033	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	11. Agua De Cu - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-034	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	12. La Cinta Blanca - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-035	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	13. Enamorado - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-036	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	14. Ni Cuerpo Ni Corazon - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-037	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	15. Adios Adios Corazon - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-038	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	16. Pelaita - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-039	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	17. Sin Corazon En El Pecho - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-040	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	18. Carola - La Sonora Dinamita			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-041	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	19. La Cuñadita - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-042	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	20. Cara Carita - Rodolfo Aicardi Y Su Tipica Ra7			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-043	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	DISCO NUMERO 3			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-044	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	1. El Lunarcito - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-045	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	2. Dile - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-046	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	3. Yo No Fui - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-047	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	4. Perdido Y Borracho - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-048	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	5. La Suegra - Rodolfo Aicardi			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-049	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	6. Donde Estas Mariana - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-050	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	7. Ya Para Que - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-051	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	8. Penas Por Un Amor - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
