recording_id	recording_title	recording_path	performer_name	label_name	catalog_number	format	source_id	source_reference	confidence	review_status
REC004687	Si Vieras	/recordings/si-vieras-1	Marilu	Peerless	4810-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004688	Si Volviera A Nacer	/recordings/si-volviera-nacer-3	Beatriz Eugenia	Peerless	2549	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004689	Si Volvieras A Mi	/recordings/si-volvieras-mi-4	Banda Los Tamazulas De Culiacan	Peerless	8238-A	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004690	Si, La Parranda Me Gusta	/recordings/si-la-parranda-me-gusta-0	Alarcon Leal Y La Tamaulipeca	Peerless	3475	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004691	Siboney	/recordings/siboney-25	Marco Antonio Vazquez	Peerless	lppu-10050	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004692	Siempre Contigo Estare	/recordings/siempre-contigo-estare	Jesus Bernal	Peerless	10051-A	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004693	Siempre Estas En Otra Parte	/recordings/siempre-estas-en-otra-parte-0	Carlos Madrigal	Peerless	5174	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004694	Siempre Fui Tu General	/recordings/siempre-fui-tu-general-1	El Charro Y La Adelita	Peerless	5045	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004695	Siempre Hace Frio	/recordings/siempre-hace-frio-38	Lola Beltrán	Peerless	5021	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004696	Siempre Hace Frio	/recordings/siempre-hace-frio-52	Lola Beltrán	Peerless	PLP-4002	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004697	Siempre Hace Frio	/recordings/siempre-hace-frio-55	Juan Mendoza	Peerless	5015-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004698	Siempre Los Dos	/recordings/siempre-los-dos-2	Trio Los Jaibos	Peerless	3068	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004699	Siempre Viva	/recordings/siempre-viva-6	Lupita Cabrera	Peerless	3071	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004700	Siempre, Siempre	/recordings/siempre-siempre-6	Pedro Infante	Peerless	3694	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004701	Siempreviva	/recordings/siempreviva-3	Los Tecolines	Peerless	4446-A	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004702	Siento Miedo	/recordings/siento-miedo-1	Hermanas Hernández	Peerless	4730B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004703	Siento Que Te Quiero	/recordings/siento-que-te-quiero-2	Mario A. Rodriguez	Peerless	2449	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004704	Sierra Los Ojos Y Juntos Recordemos	/recordings/sierra-los-ojos-y-juntos-recordemos-0	Laura Alegria	Peerless	1019-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004705	Siete Leguas	/recordings/siete-leguas-17	Pedro Infante	Peerless	4135-B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004706	Siete Leguas	/recordings/siete-leguas-28	Pedro Infante	Peerless	EPIB-1	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004707	Siete Leguas	/recordings/siete-leguas-29	Pedro Infante	Peerless	LPL-189	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004708	Siete Leguas	/recordings/siete-leguas-35	Luis Pérez Meza	Peerless	26026-7	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004709	Siete Puñales	/recordings/siete-pu%C3%B1ales-2	Martha Triana	Peerless	2305	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004710	Siga Mi Consejo	/recordings/siga-mi-consejo-0	Trio Los Jaibos	Peerless	3439	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004711	Sigamos Pecando	/recordings/sigamos-pecando-14	Los Xochimilcas	Peerless	M-1127	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004712	Sigue Mujer	/recordings/sigue-mujer-0	Los Broncos De Reynosa	Peerless	7623	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004713	Sigue Vagando	/recordings/sigue-vagando-0	Los Broncos De Reynosa	Peerless	7623	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004714	Sigueme	/recordings/sigueme-1	Hermanas Hernández	Peerless	3922	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004715	Sigues Creyendo	/recordings/sigues-creyendo	Beatriz Adriana	Peerless	LP-1986	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004716	Sigues Siendo Mi Amor	/recordings/sigues-siendo-mi-amor	Rosario De Alba	Peerless	1001-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004717	Siguiendote	/recordings/siguiendote-1	Esmeralda	Peerless	2469	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004718	Silbando	/recordings/silbando-1	Orquesta De Juan Garcia Medeles	Peerless	3634	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004719	Silenciosamente	/recordings/silenciosamente-4	David Zaizar	Peerless	LP-1355	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004720	Silenciosamente	/recordings/silenciosamente-5	David Zaizar	Peerless	LP-1776	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004721	Silverio	/recordings/silverio-10	Mariachi Oro Y Plata De Pepe Chávez	Peerless	2046	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004722	Simon Blanco	/recordings/simon-blanco-69	Banda Los Tamazulas	Peerless	AP-114	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004723	Sin Conmigo Tu No Estas	/recordings/sin-conmigo-tu-no-estas-0	Los Baby’s	Peerless	9959-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004724	Sin Darte Motivo	/recordings/sin-darte-motivo-0	Maria De Lourdes	Peerless	4854A	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004725	Sin Decirte Adios	/recordings/sin-decirte-adios-10	Hermanos Zaizar	Peerless	4629B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004726	Sin Ella	/recordings/sin-ella-17	Emilio Tuero	Peerless	1572	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004727	Sin Ella	/recordings/sin-ella-18	Emilio Tuero	Peerless	4179-B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004728	Sin Ella	/recordings/sin-ella-24	David Zaizar	Peerless	LP-1776	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004729	Sin Fe	/recordings/sin-fe-13	Juanita Escoto	Peerless	2437	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004730	Sin Futuro	/recordings/sin-futuro-7	Pedro Infante	Peerless	4286-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004731	Sin Justicia Ni Derecho	/recordings/sin-justicia-ni-derecho-0	Los Tecolines	Peerless	4759B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004732	Sin Motivo	/recordings/sin-motivo-2	Martha Triana	Peerless	2302	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004733	Sin Ofender	/recordings/sin-ofender-2	Conjunto San Benito Alegre	Peerless	10025-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004734	Sin Razon Ni Justicia	/recordings/sin-razon-ni-justicia-1	Trio Los Jaibos	Peerless	4362-B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004735	Sin Rencor	/recordings/sin-rencor-8	Carmela	Peerless	9908-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004736	Sin Saber Donde Parar	/recordings/sin-saber-donde-parar-0	La Rosa Michoacana	Peerless	5152	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004737	Sin Saber Porque	/recordings/sin-saber-porque-7	Agustín Lara	Peerless	925	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004738	Sin Sangre En Las Venas	/recordings/sin-sangre-en-las-venas-19	Juan Mendoza	Peerless	7923-A	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004739	Sin Temor	/recordings/sin-temor-3	Mario A. Rodriguez	Peerless	2449	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004740	Sin Temor Ni Verguenza	/recordings/sin-temor-ni-verguenza	Trio Cervantes	Peerless	4549-B	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004741	Sin Ti	/recordings/sin-ti-24	Adrian Gallardo	Peerless	2811	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004742	Sin Tu Amor	/recordings/sin-tu-amor-16	Toña La Negra	Peerless	1980	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004743	Sin Tu Amor	/recordings/sin-tu-amor-17	Toña La Negra	Peerless	2192	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
