batch_recording_id	confidence	evidence_text	relationship_type	review_status	source_id	source_reference	source_url
SRC0002-B0004-REC029	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='9', raw_track='Nuevamente'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC030	high	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='10', raw_track='Adiós Compay Gato'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/
SRC0002-B0004-REC031	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='1', raw_track='Las Tapas'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC032	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='2', raw_track='Quiero Ser Feliz'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC033	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='3', raw_track='Amor Serrano'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC034	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='4', raw_track='Plegaria'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC035	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='5', raw_track='Capullo De Rosa Blanca'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC036	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='6', raw_track='El Bailador'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC037	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='7', raw_track='Cumbia Árabe'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC038	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='8', raw_track='La Boquitrompona'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC039	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='9', raw_track='El Porteñito'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
SRC0002-B0004-REC040	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='10', raw_track='La Cerveza'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/
