artist_candidate_id	batch_recording_id	confidence	evidence_text	raw_artist_text	relationship_type	review_status	source_id	source_reference
SRC0003-B0001-ART009	SRC0003-B0001-REC033	high	Fania official shop product page: release='Cosa Nuestra', track='B2', raw_track='Sonero Mayor'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B2
SRC0003-B0001-ART001	SRC0003-B0001-REC034	high	Fania official shop product page: release='Cosa Nuestra', track='B3', raw_track='Sangrigorda'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B3
SRC0003-B0001-ART009	SRC0003-B0001-REC034	high	Fania official shop product page: release='Cosa Nuestra', track='B3', raw_track='Sangrigorda'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B3
SRC0003-B0001-ART001	SRC0003-B0001-REC035	high	Fania official shop product page: release='Cosa Nuestra', track='B4', raw_track='Tú No Puedes Conmigo'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B4
SRC0003-B0001-ART009	SRC0003-B0001-REC035	high	Fania official shop product page: release='Cosa Nuestra', track='B4', raw_track='Tú No Puedes Conmigo'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-cosa-nuestra-lp#track-B4
SRC0003-B0001-ART001	SRC0003-B0001-REC036	high	Fania official shop product page: release='Asalto Navideño', track='A1', raw_track='Introducción'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A1
SRC0003-B0001-ART009	SRC0003-B0001-REC036	high	Fania official shop product page: release='Asalto Navideño', track='A1', raw_track='Introducción'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A1
SRC0003-B0001-ART001	SRC0003-B0001-REC037	high	Fania official shop product page: release='Asalto Navideño', track='A2', raw_track='Canto a Borínquen'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A2
SRC0003-B0001-ART009	SRC0003-B0001-REC037	high	Fania official shop product page: release='Asalto Navideño', track='A2', raw_track='Canto a Borínquen'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A2
SRC0003-B0001-ART001	SRC0003-B0001-REC038	high	Fania official shop product page: release='Asalto Navideño', track='A3', raw_track='Popurrí Navideño'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A3
SRC0003-B0001-ART009	SRC0003-B0001-REC038	high	Fania official shop product page: release='Asalto Navideño', track='A3', raw_track='Popurrí Navideño'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A3
SRC0003-B0001-ART001	SRC0003-B0001-REC039	high	Fania official shop product page: release='Asalto Navideño', track='A4', raw_track='Traigo La Salsa'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A4
SRC0003-B0001-ART009	SRC0003-B0001-REC039	high	Fania official shop product page: release='Asalto Navideño', track='A4', raw_track='Traigo La Salsa'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-A4
SRC0003-B0001-ART001	SRC0003-B0001-REC040	high	Fania official shop product page: release='Asalto Navideño', track='B1', raw_track='Aires de Navidad'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B1
SRC0003-B0001-ART009	SRC0003-B0001-REC040	high	Fania official shop product page: release='Asalto Navideño', track='B1', raw_track='Aires de Navidad'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B1
SRC0003-B0001-ART001	SRC0003-B0001-REC041	high	Fania official shop product page: release='Asalto Navideño', track='B2', raw_track='La Murga'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B2
SRC0003-B0001-ART009	SRC0003-B0001-REC041	high	Fania official shop product page: release='Asalto Navideño', track='B2', raw_track='La Murga'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B2
SRC0003-B0001-ART001	SRC0003-B0001-REC042	high	Fania official shop product page: release='Asalto Navideño', track='B3', raw_track='Esta Navidad'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B3
SRC0003-B0001-ART009	SRC0003-B0001-REC042	high	Fania official shop product page: release='Asalto Navideño', track='B3', raw_track='Esta Navidad'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B3
SRC0003-B0001-ART001	SRC0003-B0001-REC043	high	Fania official shop product page: release='Asalto Navideño', track='B4', raw_track='Vive Tu Vida Contento'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B4
SRC0003-B0001-ART009	SRC0003-B0001-REC043	high	Fania official shop product page: release='Asalto Navideño', track='B4', raw_track='Vive Tu Vida Contento'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-asalto-navideno-lp#track-B4
SRC0003-B0001-ART001	SRC0003-B0001-REC044	high	Fania official shop product page: release='El Juicio', track='A1', raw_track='Ah-Ah / O-No'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A1
SRC0003-B0001-ART009	SRC0003-B0001-REC044	high	Fania official shop product page: release='El Juicio', track='A1', raw_track='Ah-Ah / O-No'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A1
SRC0003-B0001-ART001	SRC0003-B0001-REC045	high	Fania official shop product page: release='El Juicio', track='A2', raw_track='Piraña'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A2
SRC0003-B0001-ART009	SRC0003-B0001-REC045	high	Fania official shop product page: release='El Juicio', track='A2', raw_track='Piraña'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A2
SRC0003-B0001-ART001	SRC0003-B0001-REC046	high	Fania official shop product page: release='El Juicio', track='A3', raw_track='Seguiré Sin Ti'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A3
SRC0003-B0001-ART009	SRC0003-B0001-REC046	high	Fania official shop product page: release='El Juicio', track='A3', raw_track='Seguiré Sin Ti'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A3
SRC0003-B0001-ART001	SRC0003-B0001-REC047	high	Fania official shop product page: release='El Juicio', track='A4', raw_track='Timbalero'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A4
SRC0003-B0001-ART009	SRC0003-B0001-REC047	high	Fania official shop product page: release='El Juicio', track='A4', raw_track='Timbalero'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-A4
SRC0003-B0001-ART001	SRC0003-B0001-REC048	high	Fania official shop product page: release='El Juicio', track='B1', raw_track='Aguanile'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B1
SRC0003-B0001-ART009	SRC0003-B0001-REC048	high	Fania official shop product page: release='El Juicio', track='B1', raw_track='Aguanile'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B1
SRC0003-B0001-ART001	SRC0003-B0001-REC049	high	Fania official shop product page: release='El Juicio', track='B2', raw_track='Soñando Despierto'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B2
SRC0003-B0001-ART009	SRC0003-B0001-REC049	high	Fania official shop product page: release='El Juicio', track='B2', raw_track='Soñando Despierto'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B2
SRC0003-B0001-ART001	SRC0003-B0001-REC050	high	Fania official shop product page: release='El Juicio', track='B3', raw_track='Si La Ves'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B3
SRC0003-B0001-ART009	SRC0003-B0001-REC050	high	Fania official shop product page: release='El Juicio', track='B3', raw_track='Si La Ves'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B3
SRC0003-B0001-ART001	SRC0003-B0001-REC051	high	Fania official shop product page: release='El Juicio', track='B4', raw_track='Pan y Agua (Bread & Water)'	Willie Colón	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B4
SRC0003-B0001-ART009	SRC0003-B0001-REC051	high	Fania official shop product page: release='El Juicio', track='B4', raw_track='Pan y Agua (Bread & Water)'	Héctor Lavoe	credited_artist_candidate	staged_for_review	SRC0003	https://fania.com/products/willie-colon-el-juicio-lp#track-B4
