recording_id	group_id	role	source_id	confidence	review_status
REC000762	GRP0192	primary_group	SRC0001	high	raw_extracted
REC000764	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000765	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000770	GRP0162	primary_group	SRC0001	high	raw_extracted
REC000778	GRP0098	primary_group	SRC0001	high	raw_extracted
REC000781	GRP0131	primary_group	SRC0001	high	raw_extracted
REC000783	GRP0166	primary_group	SRC0001	high	raw_extracted
REC000784	GRP0166	primary_group	SRC0001	high	raw_extracted
REC000789	GRP0106	primary_group	SRC0001	high	raw_extracted
REC000795	GRP0188	primary_group	SRC0001	high	raw_extracted
REC000807	GRP0067	primary_group	SRC0001	high	raw_extracted
REC000811	GRP0106	primary_group	SRC0001	high	raw_extracted
REC000812	GRP0185	primary_group	SRC0001	high	raw_extracted
REC000817	GRP0069	primary_group	SRC0001	high	raw_extracted
REC000823	GRP0073	primary_group	SRC0001	high	raw_extracted
REC000826	GRP0132	primary_group	SRC0001	high	raw_extracted
REC000839	GRP0047	primary_group	SRC0001	high	raw_extracted
REC000840	GRP0197	primary_group	SRC0001	high	raw_extracted
REC000851	GRP0186	primary_group	SRC0001	high	raw_extracted
REC000854	GRP0124	primary_group	SRC0001	high	raw_extracted
REC000855	GRP0094	primary_group	SRC0001	high	raw_extracted
REC000857	GRP0099	primary_group	SRC0001	high	raw_extracted
REC000858	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000861	GRP0186	primary_group	SRC0001	high	raw_extracted
REC000865	GRP0144	primary_group	SRC0001	high	raw_extracted
REC000866	GRP0144	primary_group	SRC0001	high	raw_extracted
REC000868	GRP0174	primary_group	SRC0001	high	raw_extracted
REC000869	GRP0055	primary_group	SRC0001	high	raw_extracted
REC000873	GRP0072	primary_group	SRC0001	high	raw_extracted
REC000874	GRP0072	primary_group	SRC0001	high	raw_extracted
REC000875	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000879	GRP0093	primary_group	SRC0001	high	raw_extracted
REC000882	GRP0164	primary_group	SRC0001	high	raw_extracted
REC000889	GRP0172	primary_group	SRC0001	high	raw_extracted
REC000899	GRP0178	primary_group	SRC0001	high	raw_extracted
REC000900	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000901	GRP0190	primary_group	SRC0001	high	raw_extracted
REC000903	GRP0051	primary_group	SRC0001	high	raw_extracted
REC000907	GRP0072	primary_group	SRC0001	high	raw_extracted
REC000910	GRP0068	primary_group	SRC0001	high	raw_extracted
REC000911	GRP0115	primary_group	SRC0001	high	raw_extracted
REC000916	GRP0014	primary_group	SRC0001	high	raw_extracted
REC000925	GRP0164	primary_group	SRC0001	high	raw_extracted
REC000926	GRP0186	primary_group	SRC0001	high	raw_extracted
REC000927	GRP0175	primary_group	SRC0001	high	raw_extracted
REC000933	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000940	GRP0066	primary_group	SRC0001	high	raw_extracted
REC000943	GRP0093	primary_group	SRC0001	high	raw_extracted
REC000944	GRP0062	primary_group	SRC0001	high	raw_extracted
REC000956	GRP0051	primary_group	SRC0001	high	raw_extracted
REC000957	GRP0057	primary_group	SRC0001	high	raw_extracted
REC000958	GRP0057	primary_group	SRC0001	high	raw_extracted
REC000971	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000972	GRP0057	primary_group	SRC0001	high	raw_extracted
REC000976	GRP0078	primary_group	SRC0001	high	raw_extracted
REC000978	GRP0081	primary_group	SRC0001	high	raw_extracted
REC000984	GRP0134	primary_group	SRC0001	high	raw_extracted
REC000985	GRP0049	primary_group	SRC0001	high	raw_extracted
REC001009	GRP0127	primary_group	SRC0001	high	raw_extracted
REC001018	GRP0075	primary_group	SRC0001	high	raw_extracted
REC001020	GRP0094	primary_group	SRC0001	high	raw_extracted
REC001021	GRP0082	primary_group	SRC0001	high	raw_extracted
REC001036	GRP0201	primary_group	SRC0001	high	raw_extracted
REC001048	GRP0055	primary_group	SRC0001	high	raw_extracted
REC001056	GRP0032	primary_group	SRC0001	high	raw_extracted
REC001063	GRP0048	primary_group	SRC0001	high	raw_extracted
REC001070	GRP0014	primary_group	SRC0001	high	raw_extracted
REC001071	GRP0094	primary_group	SRC0001	high	raw_extracted
REC001075	GRP0155	primary_group	SRC0001	high	raw_extracted
REC001087	GRP0159	primary_group	SRC0001	high	raw_extracted
REC001089	GRP0159	primary_group	SRC0001	high	raw_extracted
REC001090	GRP0159	primary_group	SRC0001	high	raw_extracted
REC001091	GRP0159	primary_group	SRC0001	high	raw_extracted
REC001092	GRP0159	primary_group	SRC0001	high	raw_extracted
REC001093	GRP0159	primary_group	SRC0001	high	raw_extracted
REC001094	GRP0161	primary_group	SRC0001	high	raw_extracted
REC001097	GRP0154	primary_group	SRC0001	high	raw_extracted
REC001100	GRP0165	primary_group	SRC0001	high	raw_extracted
REC001104	GRP0194	primary_group	SRC0001	high	raw_extracted
REC001108	GRP0145	primary_group	SRC0001	high	raw_extracted
REC001109	GRP0079	primary_group	SRC0001	high	raw_extracted
REC001111	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001112	GRP0180	primary_group	SRC0001	high	raw_extracted
REC001115	GRP0062	primary_group	SRC0001	high	raw_extracted
REC001118	GRP0184	primary_group	SRC0001	high	raw_extracted
REC001122	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001123	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001124	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001125	GRP0190	primary_group	SRC0001	high	raw_extracted
REC001129	GRP0188	primary_group	SRC0001	high	raw_extracted
REC001130	GRP0016	primary_group	SRC0001	high	raw_extracted
REC001140	GRP0046	primary_group	SRC0001	high	raw_extracted
REC001141	GRP0184	primary_group	SRC0001	high	raw_extracted
REC001143	GRP0094	primary_group	SRC0001	high	raw_extracted
REC001147	GRP0185	primary_group	SRC0001	high	raw_extracted
REC001152	GRP0072	primary_group	SRC0001	high	raw_extracted
REC001153	GRP0072	primary_group	SRC0001	high	raw_extracted
REC001154	GRP0132	primary_group	SRC0001	high	raw_extracted
REC001155	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001157	GRP0194	primary_group	SRC0001	high	raw_extracted
REC001159	GRP0127	primary_group	SRC0001	high	raw_extracted
REC001179	GRP0183	primary_group	SRC0001	high	raw_extracted
REC001185	GRP0057	primary_group	SRC0001	high	raw_extracted
REC001186	GRP0202	primary_group	SRC0001	high	raw_extracted
REC001187	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001191	GRP0190	primary_group	SRC0001	high	raw_extracted
REC001192	GRP0058	primary_group	SRC0001	high	raw_extracted
REC001199	GRP0188	primary_group	SRC0001	high	raw_extracted
REC001201	GRP0071	primary_group	SRC0001	high	raw_extracted
REC001203	GRP0053	primary_group	SRC0001	high	raw_extracted
REC001204	GRP0183	primary_group	SRC0001	high	raw_extracted
REC001206	GRP0020	primary_group	SRC0001	high	raw_extracted
REC001209	GRP0190	primary_group	SRC0001	high	raw_extracted
REC001228	GRP0098	primary_group	SRC0001	high	raw_extracted
REC001230	GRP0163	primary_group	SRC0001	high	raw_extracted
REC001235	GRP0188	primary_group	SRC0001	high	raw_extracted
REC001236	GRP0188	primary_group	SRC0001	high	raw_extracted
REC001241	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001242	GRP0067	primary_group	SRC0001	high	raw_extracted
REC001249	GRP0027	primary_group	SRC0001	high	raw_extracted
REC001252	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001255	GRP0179	primary_group	SRC0001	high	raw_extracted
REC001257	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001262	GRP0068	primary_group	SRC0001	high	raw_extracted
REC001264	GRP0095	primary_group	SRC0001	high	raw_extracted
REC001265	GRP0112	primary_group	SRC0001	high	raw_extracted
REC001269	GRP0142	primary_group	SRC0001	high	raw_extracted
REC001273	GRP0051	primary_group	SRC0001	high	raw_extracted
REC001277	GRP0184	primary_group	SRC0001	high	raw_extracted
REC001279	GRP0076	primary_group	SRC0001	high	raw_extracted
REC001281	GRP0069	primary_group	SRC0001	high	raw_extracted
REC001285	GRP0185	primary_group	SRC0001	high	raw_extracted
REC001287	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001288	GRP0162	primary_group	SRC0001	high	raw_extracted
REC001290	GRP0037	primary_group	SRC0001	high	raw_extracted
REC001291	GRP0051	primary_group	SRC0001	high	raw_extracted
REC001306	GRP0124	primary_group	SRC0001	high	raw_extracted
REC001307	GRP0122	primary_group	SRC0001	high	raw_extracted
REC001312	GRP0107	primary_group	SRC0001	high	raw_extracted
REC001315	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001317	GRP0099	primary_group	SRC0001	high	raw_extracted
REC001326	GRP0154	primary_group	SRC0001	high	raw_extracted
REC001327	GRP0142	primary_group	SRC0001	high	raw_extracted
REC001339	GRP0043	primary_group	SRC0001	high	raw_extracted
REC001340	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001341	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001342	GRP0136	primary_group	SRC0001	high	raw_extracted
REC001348	GRP0182	primary_group	SRC0001	high	raw_extracted
REC001352	GRP0066	primary_group	SRC0001	high	raw_extracted
REC001360	GRP0094	primary_group	SRC0001	high	raw_extracted
REC001362	GRP0072	primary_group	SRC0001	high	raw_extracted
REC001365	GRP0172	primary_group	SRC0001	high	raw_extracted
REC001369	GRP0137	primary_group	SRC0001	high	raw_extracted
REC001373	GRP0014	primary_group	SRC0001	high	raw_extracted
REC001376	GRP0166	primary_group	SRC0001	high	raw_extracted
REC001379	GRP0085	primary_group	SRC0001	high	raw_extracted
REC001380	GRP0178	primary_group	SRC0001	high	raw_extracted
REC001381	GRP0146	primary_group	SRC0001	high	raw_extracted
REC001384	GRP0169	primary_group	SRC0001	high	raw_extracted
REC001387	GRP0172	primary_group	SRC0001	high	raw_extracted
REC001390	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001395	GRP0169	primary_group	SRC0001	high	raw_extracted
REC001396	GRP0086	primary_group	SRC0001	high	raw_extracted
REC001397	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001398	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001399	GRP0081	primary_group	SRC0001	high	raw_extracted
