unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	artist_entity_type	matched_performer_id	matched_group_id	track_number_in_source_extract	candidate_title	source_tracklist_status	source_extract_method	existing_recording_id	existing_song_id	candidate_status	review_reason	current_song_id	current_recording_id	recalculated_status
UNIT0113-03-002	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			2	Quién Será	partial_10_of_15	description_tab	REC004413;REC004414;REC005551	SONG003305	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG003305	REC004413;REC004414;REC005551	already_matched_current_authority
UNIT0113-03-003	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			3	Burundanga	partial_10_of_15	description_tab	REC005552	SONG004208	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004208	REC005552	already_matched_current_authority
UNIT0113-03-004	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			4	Todo Me Gusta de Ti	partial_10_of_15	description_tab	REC005553	SONG004209	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004209	REC005553	already_matched_current_authority
UNIT0113-03-005	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			5	El Mambo es Universal	partial_10_of_15	description_tab	REC005554	SONG004210	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004210	REC005554	already_matched_current_authority
UNIT0113-03-006	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			6	Cuando Tú Seas Mía	partial_10_of_15	description_tab	REC005555	SONG004211	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004211	REC005555	already_matched_current_authority
UNIT0113-03-007	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			7	Oye Mima	partial_10_of_15	description_tab	REC005556	SONG004212	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004212	REC005556	already_matched_current_authority
UNIT0113-03-008	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			8	Desesperación	partial_10_of_15	description_tab	REC005557	SONG004213	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004213	REC005557	already_matched_current_authority
UNIT0113-03-009	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			9	Quedé Zaina	partial_10_of_15	description_tab	REC005558	SONG004214	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG004214	REC005558	already_matched_current_authority
UNIT0113-03-010	SRC0002	3	USB - Colección 100 Exitos de La Sonora Matancera	USB - Colección 100 Exitos de La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	La Sonora Matancera	group			10	Historia de Un Amor	partial_10_of_15	description_tab	REC002285;REC002286;REC002287;REC005559	SONG001714	REVIEW_REQUIRED	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority	SONG001714	REC002285;REC002286;REC002287;REC005559	already_matched_current_authority
UNIT0113-04-001	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			1	El Carretero – Guillermo Portabales	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
