candidate_title	source_id	release_title	candidate_status
El Preso	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Daniela	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Los Domingos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Feliz Nochebuena	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Chan Con Chan	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Misma Vaina	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Cantares De Navidad	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Muchachita Celosa	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Entre Que Si Y Que No	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Agua De Cu	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Cinta Blanca	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Enamorado	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ni Cuerpo Ni Corazon	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Adios Adios Corazon	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Pelaita	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Sin Corazon En El Pecho	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Carola	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Cuñadita	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Cara Carita	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Lunarcito	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Dile	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Yo No Fui	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Perdido Y Borracho	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Suegra	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Donde Estas Mariana	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ya Para Que	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Penas Por Un Amor	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Linda Rosa	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Te Castigo Haciendote Llorar	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Que Regrese	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Voy Cantando	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Casado Arrepentido	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Cumbia Marinera	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Maestro	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Tizon	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Manuelito Barrios	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Casi Casi	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Entonces Cuando	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Bandolera	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ya Se Marcho	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Masculino Y Femenino	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Cangrejito Enamorado	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Se La Llevo El Tren	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Lorenza	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Linda Muchachita	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Carita De Cielo	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Amor Por Computadora	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Burra Y La Chiva	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Mi Cumbion	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Mis Zapatos Viejos-	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Los Algodones	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Pescador Triste	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Telefono	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Mi Primavera	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Revancha	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Cinturita De Jabon	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Fiesta De Cumpleaños	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Escorpion	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Bruja	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Que No Quede Huella	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
No Peliemos Tanto	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Lamento De Tu Voz	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Limoncito Con Ron	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Borremos El Pasado	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Baile Del Brinquito	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Tengo Celos	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Brisa Sala	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Ciclon	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
El Jardinero	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Hamaca Raya	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Se Va La Vida	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Muchachita Del Oriente	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Ya Voy Hacia Ti	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Lindo Clavelito	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Negra Candela	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
No Me Alcanza	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Veinte Años	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
La Ladrona	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
Provinciana	SRC0002	USB - Colección 100 Exitos de Rodolfo Aicardi	promotion_candidate
