recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC000136	Al Derecho Y Al Reves			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000137	Al Derecho Y Al Reves			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000138	Al Llegar Diciembre			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000139	Al Llegar Las Gaviotas			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000142	Al Morir La Tarde			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000144	Al Pie De La Montaña			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000145	Al Pie De La Montaña			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000146	Al Pie De Tu Reja			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000148	Al Sur De La Frontera			PER000010			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000150	Al Tiempo			PER000036			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000152	Alas De Plata			PER000139			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000155	Albricias			PER000250			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000156	Albur			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000157	Albur De Amor			PER000106			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000158	Albur De Amor			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000161	Alejandra			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000162	Alevantate			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000163	Alevantate			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000167	Alguna Vez			PER000211			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000168	Alitas Rotas			PER000175			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000169	Alla En El Rancho Grande			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000170	Alla En El Rancho Grande			PER000104			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000171	Alla Por La Madrugada			PER000019			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000173	Allá En El Rancho Grande			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000176	Alma Angelina			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000177	Alma Angelina			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000178	Alma De Acero			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000179	Alma De Cristal			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000181	Alma De Cristal			PER000210			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000183	Alma Herida			PER000108			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000185	Alma Jarocha			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000187	Alma Llanera			PER000179			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000189	Alma Sin Alma			PER000217			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000192	Alma Vacia			PER000065			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000194	Almas Perdidas			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000195	Alondra			PER000073			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000197	Altivez			PER000041			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000199	Amandonos Y Besandonos			PER000151			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000200	Amandonos, Amandonos			PER000209			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000202	Amaneci En Tus Brazos			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000203	Amaneci En Tus Brazos			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000204	Amanezco Sin Ti			PER000071			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000205	Amapola			PER000210			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000207	Amar Y Vivir			PER000158			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000210	Amargado De La Vida			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000212	Amargura			PER000132			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000213	Amargura			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000214	Amargura			PER000094			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000216	Amemonos love			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000218	Amigablemente			PER000199			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000219	Amigo			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000220	Amigo			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000221	Amigo - Bajo El Sol A La Deriva			PER000274			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000222	Amigo - Bajo El Sol A La Deriva			PER000274			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000223	Amigo Amigo			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000225	Amigo Vendaval			PER000250			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000226	Amigos Me Acuerdo			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000227	Amigos Nomas			PER000249			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000229	Amor			PER000250			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000230	Amor A Media Rienda			PER000149			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000231	Amor A Primera Vista			PER000117			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000232	Amor Bendito			PER000205			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000233	Amor Caprichoso			PER000041			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000235	Amor Ciego			PER000205			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000239	Amor Con Antifaz			PER000190			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
