recording_id	group_id	role	source_id	confidence	review_status
REC004310	GRP0211	primary_group	SRC0001	medium-high	staged
REC004354	GRP0215	primary_group	SRC0001	medium-high	staged
REC004363	GRP0241	primary_group	SRC0001	medium-high	staged
REC004369	GRP0215	primary_group	SRC0001	medium-high	staged
REC004421	GRP0211	primary_group	SRC0001	medium-high	staged
REC004474	GRP0230	primary_group	SRC0001	medium-high	staged
REC004500	GRP0206	primary_group	SRC0001	medium-high	staged
REC004501	GRP0209	primary_group	SRC0001	medium-high	staged
REC004539	GRP0246	primary_group	SRC0001	medium-high	staged
REC004553	GRP0205	primary_group	SRC0001	medium-high	staged
REC004564	GRP0209	primary_group	SRC0001	medium-high	staged
REC004585	GRP0210	primary_group	SRC0001	medium-high	staged
REC004600	GRP0211	primary_group	SRC0001	medium-high	staged
REC004718	GRP0205	primary_group	SRC0001	medium-high	staged
REC004721	GRP0219	primary_group	SRC0001	medium-high	staged
REC004782	GRP0209	primary_group	SRC0001	medium-high	staged
REC004811	GRP0213	primary_group	SRC0001	medium-high	staged
REC004816	GRP0221	primary_group	SRC0001	medium-high	staged
REC004817	GRP0209	primary_group	SRC0001	medium-high	staged
REC004827	GRP0231	primary_group	SRC0001	medium-high	staged
REC004856	GRP0247	primary_group	SRC0001	medium-high	staged
REC004946	GRP0248	primary_group	SRC0001	medium-high	staged
REC004964	GRP0205	primary_group	SRC0001	medium-high	staged
REC004973	GRP0208	primary_group	SRC0001	medium-high	staged
REC004996	GRP0208	primary_group	SRC0001	medium-high	staged
REC005003	GRP0213	primary_group	SRC0001	medium-high	staged
REC005053	GRP0204	primary_group	SRC0001	medium-high	staged
REC005075	GRP0219	primary_group	SRC0001	medium-high	staged
REC005077	GRP0210	primary_group	SRC0001	medium-high	staged
REC005128	GRP0204	primary_group	SRC0001	medium-high	staged
REC005164	GRP0221	primary_group	SRC0001	medium-high	staged
REC005274	GRP0229	primary_group	SRC0001	medium-high	staged
REC005285	GRP0248	primary_group	SRC0001	medium-high	staged
REC005316	GRP0205	primary_group	SRC0001	medium-high	staged
REC005327	GRP0246	primary_group	SRC0001	medium-high	staged
REC005337	GRP0211	primary_group	SRC0001	medium-high	staged
REC005340	GRP0218	primary_group	SRC0001	medium-high	staged
REC005367	GRP0214	primary_group	SRC0001	medium-high	staged
REC005458	GRP0211	primary_group	SRC0001	medium-high	staged
REC005461	GRP0243	primary_group	SRC0001	medium-high	staged
REC005493	GRP0208	primary_group	SRC0001	medium-high	staged
REC005499	GRP0209	primary_group	SRC0001	medium-high	staged
