unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status
UNIT0113-12-002	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Bella es la Navida / Ricardo Ray - Bobby Cruz			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-003	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	En la Nochebuena / La Sonora Matancera			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-004	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Ron de Vinola / Guillermo Buitrago			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-005	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	El Hijo Ausente / Pastor López y Su Combo			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-006	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Maldita Navidad / Gabriel Romero y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-007	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	El Pesebre / Afrosound			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-008	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Aires de Navidad / Los Titanes			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-009	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Grito Vagabundo / Guillermo Buitrago			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-12-010	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Pascua en Navidad / Luis Felipe González			source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-13-001	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Niño del Alma Mía	REC005680	SONG004318	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-13-002	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Feliz Navidad	REC005681	SONG004319	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-13-003	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Tutaina	REC005682	SONG004320	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-13-004	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Salve Reina y Madre	REC005683	SONG004321	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-13-005	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Zagalillo	REC005684	SONG004322	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-13-006	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Antón	REC005685	SONG004323	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
UNIT0113-13-007	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	La Nanita Nana	REC005686	SONG004324	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority				entity_needed
