recording_id	canonical_recording_title	canonical_song_id	label_id	source_id	recording_year	country	language	gap
REC001802	El Quelite	SONG001354	LBL000003	SRC0001				artist
REC001816	El Ranchero Afamado	SONG001360	LBL000003	SRC0001				artist
REC001821	El Reacatan	SONG001364	LBL000003	SRC0001				artist
REC001836	El Rey De Los Chiviricos	SONG001375	LBL000003	SRC0001				artist
REC001854	El Sinaloense	SONG001388	LBL000003	SRC0001				artist
REC001873	El Son Se Fue De Cuba	SONG001398	LBL000003	SRC0001				artist
REC001876	El Suby Gallego	SONG001401	LBL000003	SRC0001				artist
REC001897	El Tiro De Gracia	SONG001418	LBL000003	SRC0001				artist
REC001915	El Tren De La Victoria	SONG001432	LBL000003	SRC0001				artist
REC001921	El Tunel	SONG001437	LBL000003	SRC0001				artist
REC001932	El Vato Gacho	SONG001446	LBL000003	SRC0001				artist
REC001938	El Volado	SONG001450	LBL000003	SRC0001				artist
REC001953	Elia	SONG001460	LBL000003	SRC0001				artist
REC001965	Eloy Cavazos	SONG001467	LBL000003	SRC0001				artist
REC001974	En Donde Esta Mi Saxofon	SONG001476	LBL000003	SRC0001				artist
REC001987	En Que Quedamos Por Fin	SONG001486	LBL000003	SRC0001				artist
REC001996	En Un Apuro	SONG001491	LBL000003	SRC0001				artist
REC002008	Entre Copa Y Copa	SONG001502	LBL000003	SRC0001				artist
REC002025	Errante Y Vagabundo	SONG001514	LBL000003	SRC0001				artist
REC002039	Es Tan Bueno	SONG001526	LBL000003	SRC0001				artist
REC002057	España Cañi	SONG001541	LBL000003	SRC0001				artist
REC002066	Espera	SONG001548	LBL000003	SRC0001				artist
REC002073	Espinita	SONG001555	LBL000003	SRC0001				artist
REC002081	Esta Noche Me Emborracho	SONG001562	LBL000003	SRC0001				artist
REC002093	Estate Quieto, Jose	SONG001569	LBL000003	SRC0001				artist
REC002120	Fantasia Impromtu	SONG001591	LBL000003	SRC0001				artist
REC002137	Fili Nava	SONG001604	LBL000003	SRC0001				artist
REC002151	Florencio Robles	SONG001613	LBL000003	SRC0001				artist
REC002179	Gitanillo	SONG001635	LBL000003	SRC0001				artist
REC002180	Gitano De Chicago	SONG001636	LBL000003	SRC0001				artist
REC002212	Granito De Arena	SONG001656	LBL000003	SRC0001				artist
REC002216	Grito De La Independencia	SONG001658	LBL000003	SRC0001				artist
REC002224	Guajira	SONG001662	LBL000003	SRC0001				artist
REC002232	Güera Color De Rosa	SONG001669	LBL000003	SRC0001				artist
REC002236	Hace Un Año	SONG001672	LBL000003	SRC0001				artist
REC002247	Hasta Cuando Mi Grandota	SONG001681	LBL000003	SRC0001				artist
REC002249	Hasta La Pregunta Es Necia	SONG001683	LBL000003	SRC0001				artist
REC002250	Hasta La Tumba	SONG001684	LBL000003	SRC0001				artist
REC002255	Hay Que Dolor!	SONG001688	LBL000003	SRC0001				artist
