recording_id	label_id	relationship_type	source_id	confidence	review_status
REC000235	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000236	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000237	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000238	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000239	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000240	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000241	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000242	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000243	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000244	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000245	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000246	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000247	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000248	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000249	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000250	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000251	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000252	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000253	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000254	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000255	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000256	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000257	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000258	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000259	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000260	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000261	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000262	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000263	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000264	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000265	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000266	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000267	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000268	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000269	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000270	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000271	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000272	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000273	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000274	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000275	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000276	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000277	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000278	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000279	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000280	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000281	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000282	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000283	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000284	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000285	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000286	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000287	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000288	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000289	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000290	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000291	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000292	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000293	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000294	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000295	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000296	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000297	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000298	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000299	LBL000002	recording_label	SRC0001	high	raw_extracted
