song_id	performer_id	relationship_type	source_id	confidence	review_status
SONG001514	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001562	PER000302	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001569	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001613	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001669	PER000306	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001672	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001681	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001683	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001684	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001688	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001698	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001714	PER000328	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001716	PER000332	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001721	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001732	PER000298	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001751	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001766	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001772	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001792	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001812	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001839	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001864	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001893	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001897	PER000328	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001911	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001932	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001942	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001945	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001948	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001957	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001958	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001967	PER000332	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001977	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG001997	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002015	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002021	PER000311	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002063	PER000313	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002070	PER000320	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002076	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002159	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002160	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002170	PER000297	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002187	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002195	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002198	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002208	PER000320	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002219	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002247	PER000327	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002257	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002270	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002273	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002274	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002275	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002282	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002284	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002286	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002292	PER000321	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002322	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002331	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002333	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002336	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002348	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002360	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002361	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002374	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002375	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002383	PER000307	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002390	PER000327	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002397	PER000322	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002429	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002487	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002495	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002553	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002579	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002599	PER000308	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002645	PER000326	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002665	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002689	PER000293	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002695	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002697	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002707	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002711	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002713	PER000322	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002728	PER000331	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002737	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002740	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002756	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002777	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002779	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002780	PER000313	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002782	PER000332	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002787	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002798	PER000332	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002808	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002828	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002829	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002894	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002918	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002924	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002934	PER000321	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002944	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002946	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002950	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002957	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002964	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002969	PER000310	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002981	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG002983	PER000329	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003039	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003080	PER000317	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003081	PER000312	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003082	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003084	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003091	PER000293	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003124	PER000322	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003127	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003144	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003167	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003195	PER000305	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003243	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003251	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003256	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003290	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003293	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003295	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003297	PER000316	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003377	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003377	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003377	PER000317	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003378	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003406	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003454	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
