raw_source_id	raw_source_unit	raw_page	raw_row_in_page	source_id	source_reference	recording_path	raw_recording_title	recording_title	performer_name	composer_name	label_name	catalog_number	format	evidence_text	confidence	review_status
SRC-0010	frontera_peerless_ajax_full_0001	0	24	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/los-cuatro-vientos-22	A Los Cuatro Vientos	A Los Cuatro Vientos	Pedro Infante		Peerless	4654B	78	Frontera Peerless AJAX row: title='A Los Cuatro Vientos', performer='Pedro Infante', label='Peerless', catalog='4654B', format='78', path='/recordings/los-cuatro-vientos-22'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	25	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/los-cuatro-vientos-29	A Los Cuatro Vientos	A Los Cuatro Vientos	Lola Beltrán	Méndez Sosa, Tomás	Peerless	1570	33	Frontera Peerless AJAX row: title='A Los Cuatro Vientos', performer='Lola Beltrán', label='Peerless', catalog='1570', format='33', path='/recordings/los-cuatro-vientos-29'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	26	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/los-cuatro-vientos-30	A Los Cuatro Vientos	A Los Cuatro Vientos	Pedro Infante	Méndez Sosa, Tomás	Peerless	PLP-4001	33	Frontera Peerless AJAX row: title='A Los Cuatro Vientos', performer='Pedro Infante', label='Peerless', catalog='PLP-4001', format='33', path='/recordings/los-cuatro-vientos-30'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	27	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/mano-estamos-0	A Mano Estamos	A Mano Estamos	Las Norteñitas	Avalos V., Fidel	Peerless	7768	45	Frontera Peerless AJAX row: title='A Mano Estamos', performer='Las Norteñitas', label='Peerless', catalog='7768', format='45', path='/recordings/mano-estamos-0'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	28	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/mano-quedamos-1	A Mano Quedamos	A Mano Quedamos	Las Norteñitas	Palomar, Roman	Peerless	7974-B	45	Frontera Peerless AJAX row: title='A Mano Quedamos', performer='Las Norteñitas', label='Peerless', catalog='7974-B', format='45', path='/recordings/mano-quedamos-1'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	29	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/mano-quedamos-3	A Mano Quedamos	A Mano Quedamos	Las Norteñitas	Palomar, R.	Peerless	LD-759	33	Frontera Peerless AJAX row: title='A Mano Quedamos', performer='Las Norteñitas', label='Peerless', catalog='LD-759', format='33', path='/recordings/mano-quedamos-3'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	0	30	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/medias-de-la-noche-60	A Medias De La Noche	A Medias De La Noche	David Zaizar		Peerless	LP-1355	33	Frontera Peerless AJAX row: title='A Medias De La Noche', performer='David Zaizar', label='Peerless', catalog='LP-1355', format='33', path='/recordings/medias-de-la-noche-60'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	1	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/mi-manera-my-way	A Mi Manera - My Way	A Mi Manera - My Way	Los Gallos De Oro	Anka, Paul	Peerless	lp-1926	33	Frontera Peerless AJAX row: title='A Mi Manera - My Way', performer='Los Gallos De Oro', label='Peerless', catalog='lp-1926', format='33', path='/recordings/mi-manera-my-way'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	2	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/mi-no-me-interesa-1	A Mi No Me Interesa	A Mi No Me Interesa	Hermanas Hernández	Cordero, Victor	Peerless	4056	78	Frontera Peerless AJAX row: title='A Mi No Me Interesa', performer='Hermanas Hernández', label='Peerless', catalog='4056', format='78', path='/recordings/mi-no-me-interesa-1'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	3	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/orillas-del-papaloapan-3	A Orillas Del Papaloapan	A Orillas Del Papaloapan	Hnos. Huesca	Huesca, Victor	Peerless	AP-124	33	Frontera Peerless AJAX row: title='A Orillas Del Papaloapan', performer='Hnos. Huesca', label='Peerless', catalog='AP-124', format='33', path='/recordings/orillas-del-papaloapan-3'	high	raw_extracted
