candidate_entity_name	candidate_entity_type
Dalia Iñiguez	unknown
Daltas	unknown
David Zaizar	unknown
Demetrio González	trio
Don Rogelio	unknown
Duarte y sus Corsarios	unknown
Dueto Adan Y Eva	duo
Dueto Aguila Y Sol	duo
Dueto Alma Criolla	duo
Dueto Alvarado	duo
Dueto Azteca	duo
Dueto Barcelata - Cortazar	duo
Dueto Beltran	duo
Dueto Blanco Y Negro	duo
Dueto Carlos Y Alicia	duo
Dueto De La Laguna	duo
Dueto Hermanos Estrella	duo
Dueto Hermanos Huesca	duo
Dueto Las Guerrilleras De La Frontera	duo
Dueto Los Chamacones	duo
Dueto Los Lechugueros	duo
Dueto Los Sultanes	duo
Dueto Los Valedores	duo
Dueto Martinez - Gil	duo
Dueto Miguel Aceves - Chelo Flores	duo
Dueto Monterrey	duo
Dueto Regiomontano	duo
Dueto Romantico	duo
Dueto Rubio	duo
Dueto San Martin	duo
Dueto San Miguel	duo
Dueto Sanchez - Becerra	duo
Dueto Sanchez Y Galvez	duo
Dueto Sensacion	duo
Dueto Sorpresa	duo
Dueto Sánchez Galvez	duo
Dueto Timbre Y Sobre	duo
D’Artega Orchestra	unknown
Eduardo Alexander	unknown
Eduardo Del Campo	unknown
Eduardo Lara H.	unknown
Eduardo Solis	unknown
El Charro Y La Adelita	unknown
El Negro Marcelino	unknown
Emilio Barney	unknown
Emilio Tuero	unknown
Emilio Tuero - Hnas. Aguila	unknown
Emily Cranz	unknown
Enrique Alejandro	unknown
Enrique Olivarez	unknown
Erendira Y Rene	unknown
Esmeralda	unknown
Fco. Spaventa	unknown
Federico Curiel	unknown
Felipe B. Gil	unknown
Felipe Bermejo	unknown
Felipe Pérez Lopez	unknown
Fernando Rios	unknown
Fernando Rosas	unknown
Fernando Zaizar	unknown
Filiberto Parra	unknown
Frankie	unknown
Frankle	unknown
Gaby Daltas	unknown
Genaro Salinas	unknown
George Jay	unknown
Gilberto Lazaro Gaona	unknown
Gonzalo Curiel	unknown
Gualberto Castro	unknown
Guillermo Alvarez	unknown
Gustavo Morales	unknown
Guty Cárdenas	unknown
Hector Galeana Serna	unknown
Hemanas Hernandez	unknown
Heriberto Molina	unknown
Hermanas Aguila	unknown
Hermanas Barocio	unknown
Hermanas Cora	unknown
Hermanas Cora Y Hermanos Zaizar	unknown
Hermanas Del Valle	unknown
Hermanas Hernandes	unknown
Hermanas Hernández	unknown
Hermanas Luna	unknown
Hermanas Medrano	unknown
Hermanas Orozco	unknown
Hermanas Ruelas	unknown
Hermanas Velazquez	unknown
Hermanos Calderon	unknown
Hermanos Cárdenas	unknown
Hermanos Huesca	unknown
Hermanos Luna	unknown
Hermanos Michel	unknown
Hermanos Orozco	unknown
Hermanos Recio	unknown
Hermanos Zaizar	unknown
Hermanos Zaizar - Prieta Linda	unknown
Hnas. Hernandez	unknown
Hnos. Carrillo	unknown
Hnos. Huesca	unknown
Hnos. Martinez Gil	unknown
Homero Rodriguez	unknown
Humberto Bethancourt	unknown
Jaime Nolla Reyes	unknown
Jesus Bernal	unknown
Johnny Lopez	unknown
Jorge Fernández	unknown
Jorge Ledezma	unknown
Jorge M. Dada	unknown
Jose Luis Caro	unknown
José Agustin Hernandez	unknown
José Contreras	unknown
José Luis Vazquez	unknown
José Martin	unknown
Juan Arvizú	unknown
Juan Arvizú - Mario Talavera	unknown
Juan Manuel Colombo	unknown
Juan Mendoza	unknown
Juan Murrieta	unknown
Juan Zaizar	unknown
Juanita Escoto	unknown
Julio Aldama	unknown
Julio Flores	unknown
Julio Jaramillo	unknown
La Gran Rondalla Mexicana De Tata Nacho	unknown
La Marimba Chiapaneca	unknown
La Mexicanita	unknown
La Niebla	unknown
La Panchita	unknown
La Panchita Y Amapola	unknown
La Prieta Linda	unknown
La Prieta Linda y Hermanos Zaizar	unknown
La Rosa Michoacana	unknown
La Torcacita	unknown
Lalo Guerrero	unknown
Las Alteñas	group
Las Calandrias	group
Las Cancioneras Del Panuco	group
Las Carrancistas	group
Las Dos Rosas	group
Las Estrellitas	group
Las Golondrinas	group
Las Guerrilleras	group
Las Hermanas Aguila	group
Las Hermanas Pulido	group
Las Norteñitas	group
Las Perlitas	group
Las Potranquitas Del Norte	group
Las Preferidas	group
Las Virrey	group
Laura Alegria	unknown
Laurita y Ray	unknown
Leandro Espinoza	unknown
Licha Ramos	unknown
Lino Lujan	unknown
Lira De San Cristóbal	unknown
Lira De San Cristóbal Marimba	unknown
Lola Beltran Y Hnos. Michel	unknown
Lola Beltran Y Prieta Linda	unknown
Lola Beltran Y Trio Hnos. Michel	trio
Lola Beltran y Los Tres Cotorros	unknown
Lola Beltrán	unknown
Lolita Sandoval C.	unknown
Los Abuelitos	group
Los Alegres De Sabinas	group
Los Alegres Laguneros	group
Los Alegres de Terán	group
Los Apson	group
Los Baby’s	group
Los Blue Angel’s	group
Los Broncos De Reynosa	group
Los Cancioneros Del Bajío	group
Los Cardenales	group
Los Charangos	group
Los Charros De Ameca	group
Los Charros De Ameca De Roman Palomar	group
Los Cinco Del Norte	group
Los Corraleros De Majagual	group
Los Criollos	group
Los Dorados De Terán	group
Los Dos	group
Los Dos Luceritos	group
Los Dos Palomos	group
Los Duendes	group
Los Elegantes	group
Los Errantes	group
Los Escamilla	group
Los Freddy’s	group
Los Galleros	group
Los Gallos De Oro	group
Los Halcones Del Norte	group
Los Hermanos Bañuelos	group
Los Jilgueros De La Loma	group
Los Johnny Jets	group
Los Lechugueros	group
Los Llopis	group
Los Lobos Del Norte	group
Los Madrugadores Del Valle	group
Los Margaritos	group
Los Modernistas De Morelos	group
Los Oros	group
Los Pajarillos Del Norte	group
Los Pajaritos Del Norte	group
Los Palillos	group
Los Panterones De Torreon	group
Los Plateados De Nicandro Castillo	group
Los Potros	group
Los Quijotes	group
Los Rancheritos Del Norte	group
Los Rayos De Chuy Luviano	group
Los Reno	group
Los Sembradores Del Naranjo	group
Los Seven Days	group
Los Sicodelicos Del Norte	group
Los Soberanos	group
Los Solitarios	group
Los Sonor’s	group
Los Tecolines	group
Los Tecolinos	group
Los Teporingos	group
Los Tequileros De Cesar Suedan	group
Los Tres Vaqueros	group
Los Trincas	group
Los Trincos	group
Los Triunfadores Del Norte	group
Los Trovadores Del Palenque	group
Los Trovadores Del Viejo Elpidio	group
Los Trovadores Huastecos	group
Los Trovadores Huastecos Del Viejo Elpidio	group
Los Trovadores Plateados	group
Los Trovadores Tropicales	group
Los Trovadors Plateados	group
Los Vagabundos Del Norte	group
Los Xochimilcas	group
Los Xochimilcas Trio De La Playa	group
Los Yumbos	group
Luis Aguilar - Emilio Galvez y Roberto G. Rivera	unknown
Luis Aquiles Orchestra	unknown
Luis Arcaraz	unknown
Luis Demetrio	trio
Luis G. Roldan	unknown
Luis Lozano	unknown
Luis Pérez Meza	unknown
Lupe Aguilar	unknown
Lupe Mejia	unknown
Lupe y Bella	unknown
Lupita Alday	unknown
Lupita Cabrera	unknown
Lupita Carmona	unknown
Lupita Moran	unknown
Lupita Palomera	unknown
Lupita Parra	unknown
Lupita Tovar	unknown
Lydia Mendoza	unknown
Maciste	unknown
Magda Franco	unknown
Manolita Arreola	unknown
Manuel D. Núñez	unknown
Manuel Lopez Ochoa	unknown
Manuel Nuñez Y Goty	unknown
Manuelita Arriola	unknown
Marco Antonio Vazquez	unknown
Marga Llergo	unknown
Margarita Romero	unknown
Margarita Sierra	unknown
Maria Alma	unknown
Maria Cristina	unknown
Maria De Jesus Vasquez	unknown
Maria De Jesus Vazquez	unknown
Maria De Lourdes	unknown
Maria Elena Sandova	unknown
Maria Elena Sandoval	unknown
Maria Izquierdo	unknown
Maria Trinidad	unknown
Mariachi Blanco Y Negro	mariachi
Mariachi Colimense	mariachi
Mariachi De Alfredo Serna	mariachi
Mariachi De Juan Güitrón	mariachi
Mariachi De Roman Palomar	mariachi
Mariachi Estrella	mariachi
Mariachi Estrella De Boni Collazo	mariachi
Mariachi Estrella De Bony Collazo	mariachi
Mariachi Guadalajara	mariachi
Mariachi Guadalajara De Silvestre Vargas	mariachi
Mariachi Guadalaraja De Silvestre Vargas	mariachi
Mariachi Güitrón	mariachi
Mariachi Jalisco De Pepe Villa	mariachi
Mariachi Los Abajeños	mariachi
Mariachi Los Coyotes	mariachi
Mariachi Los Tecolotes	mariachi
Mariachi Los Vargas De Arturo Mendoza	mariachi
Mariachi Marmolejo	mariachi
Mariachi Mexico	mariachi
Mariachi Mexico De Pepe Villa	mariachi
Mariachi Miguel Diaz	mariachi
Mariachi Murcielagos De Chapala	mariachi
Mariachi Oro Y Plata De Pepe Chávez	mariachi
Mariachi Perla De Occidente	mariachi
Mariachi Pulido	mariachi
Mariachi Serna	mariachi
Mariachi Tapatio	mariachi
Mariachi Tapatio Marmolejo	mariachi
Mariachi Vargas	mariachi
Mariachi Vargas De Tecalitlán	mariachi
Marilu	unknown
Marimba Chiapaneca	unknown
Marimba Cuquita De los Hermanos Narváez	unknown
Marimba Cuquita De los Hnos. Narváez	unknown
Marimba De Los Hermanos Paniagua	unknown
Marimba De Los Hnos. Paniaga	unknown
Marimba Hermanos Paniagua	unknown
Marimba Hnos. Paniagua	unknown
Marimba Orquesta De Hermanos Paniagua	unknown
Marimba Orquesta De Los Hermanos Paniagua	unknown
Marimba Orquesta De Los Hnos. Dominguez	unknown
Mario A. Rodriguez	unknown
Mario Alberto Rodríguez	unknown
Mario F. Porta	unknown
Mario Robledo	unknown
Mario Rodriguez	unknown
Marta Triana	unknown
Martha Laura	unknown
Martha Triana	unknown
Martha Y Felipe	unknown
Martin Becerra	unknown
Martin Y Catita	unknown
Martin Y Eloisa	unknown
Martin Y Malena	unknown
Martin Y Martita	unknown
Martita	unknown
María Luisa Landín	unknown
Memo Lugo	unknown
Memo Salamanca	unknown
Miguel Aceves Mejía	unknown
Miguel Angel Torres	unknown
Miguel De Gonzalo	unknown
Montane - Andrade - Jimenez	unknown
N. Farjardo - L. Bravo - A. Islas	unknown
Nano Molina	unknown
Negrito Barrios	unknown
Nestor Chayres	unknown
Noé Bahena	unknown
Ody Duran	unknown
Olga Darson	unknown
Orquesta Alejandro Cardona	unknown
Orquesta Cha, Cha, Cha Continental	unknown
Orquesta Cubana De Domingo Vernier	unknown
Orquesta Cubana De Domingo Vernier Mango	unknown
Orquesta De Abel Domínguez	unknown
Orquesta De Alberto Dominguez	unknown
Orquesta De Antonio Escobar	unknown
Orquesta De Arturo Nuñez	unknown
Orquesta De Cuerdas De Gervasio Lopez	unknown
Orquesta De Cuerdas Y Alientos De Alejandro Perucho	unknown
Orquesta De Cuerdas Y Alientos De Aurelio De La Cruz	unknown
Orquesta De Filiberto Cedillo	unknown
Orquesta De Ismael Diaz	unknown
Orquesta De Joaquin P.Monroy	unknown
Orquesta De Juan Garcia Medeles	unknown
Orquesta De Juan S. Garrido	unknown
Orquesta De Memo Salamanca	unknown
Orquesta De Miguel Angel Pazos	unknown
Orquesta De Noe Fajardo	unknown
Orquesta De Pepe De Le Vega	unknown
Orquesta De Ramon Marquez	unknown
Orquesta Hermanos Marquez	unknown
Orquesta Internacional	unknown
Orquesta J. S. Garrido	unknown
Orquesta Juan S. Garrido	unknown
Orquesta Marimba De Abel Dominguez	unknown
Orquesta Mexicana De Raul Diaz El Mago	unknown
Orquesta Posadas	unknown
Orquesta Sinfonica De Daniel Pérez Castañeda	unknown
Orquesta Tropical	unknown
Orquesta Tropical De Chucho Rodriguez	unknown
Orquesta Tropical Maravilla	unknown
Ortiz Tirado	unknown
Oscar Lopez	unknown
Paco Betancourt	unknown
Pareja Quiroz	unknown
Pedro Galindo	unknown
Pedro Infante	unknown
Pedro Patricio Y Panfilo Patricio	unknown
Pedro Vargas	unknown
Pepe Gavilan	unknown
Pepe Infante	unknown
Pepe Peña	unknown
Pepe Vasquez	unknown
Pepe Y Lulu	unknown
Pimentel - Ledezma	unknown
Pimentel Y Ledezma	unknown
Poncho Y Martha	unknown
Prieta Linda	unknown
Prieta Linda - Hermanos Zaizar	unknown
Queta Jimenez	unknown
Rafael Cabrera	unknown
Rafael De Paz	unknown
Ramón Manzo	unknown
Raquel Domenech	unknown
Raquel Esparza Montañez	unknown
Raul Martinez	unknown
Renato López Magaña	unknown
Ricardo Barquera	unknown
Ricardo Duardo	unknown
Rodolfo Castillo	unknown
Rodolfo y Beatriz	unknown
Rolando Arce	unknown
Rosa Maria	unknown
Rosa Maria Mayer	unknown
Rosario De Alba	unknown
Ruben Mendez	unknown
Rudy Macias Quintet	unknown
Salvador García	unknown
Salvador Huerta	unknown
Salvador S. Najera	unknown
Salvajes De La Frontera	unknown
Santa Oviedo	unknown
Sebastian Muñoz	unknown
Severiano Briseno	unknown
Son Yumuri	unknown
Tere Y Maricela	unknown
Tito Enriquez	unknown
Tito Güizar	unknown
Tomas Andres	unknown
Tomas Mendez Sosa	unknown
Tony Camargo	unknown
Toña La Negra	unknown
Toña Montiel	unknown
Trio Alma Hidalguense	trio
Trio Alma Hidalguense De Hilarión Hernández G.	trio
Trio Argentino	trio
Trio Bohemio	trio
Trio Cantarrecio	trio
Trio Casino	trio
Trio Cervantes	trio
Trio Copacaban	trio
Trio Copacabaña	trio
Trio Dorados De Villa	trio
Trio Durango	trio
Trio Guayacan	trio
Trio Hermanos Michel	trio
Trio Hnos. Michel	trio
Trio Janitzio	trio
Trio Los Dandys	trio
Trio Los Embajadores	trio
Trio Los Halcones	trio
Trio Los Jaibos	trio
Trio Los Jaibos y Catalina Hernandez	trio
Trio Los Jinetes	trio
Trio Los Madrigales	trio
Trio Los Paisanos	trio
Trio Los Pepes	trio
Trio Los Yucas	trio
Trio Martinez Gil	trio
Trio Mensajeros del Bajío	trio
Trio San Juan	trio
Trio San Juan y Catalina Hernandez	trio
Trio Tariacuri	trio
Trio Taxqueño	trio
Trio Trovador	trio
Tropical Caribe De Miguel Aguilar	unknown
Tropical Florida	unknown
Trovadores Huastecos	unknown
Trovadores Huastecos del Viejo Elpidio	unknown
Trovadores Tlalixcoyanos	unknown
Trío Calaveras	unknown
Trío Guerrerense	unknown
Trío Los Compadres	unknown
Trío Tamaulipas	unknown
Ventura Romero	unknown
Veronica Castro	unknown
Vicente Garrido	unknown
Vicente Herrera	unknown
Vicentico Valdés	unknown
Vicentico Valdéz	unknown
Victor Cordero	unknown
Victor Cordero Y Martita	unknown
Wayne Gregg	unknown
unknown artist	unknown
