unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method	candidate_title_clean	extracted_artist_name	split_status	recovered_match_type	recovered_performer_id	recovered_group_id	recovered_entity_name	recovery_status	final_candidate_title	final_artist_name	final_performer_id	final_group_id	unit0119_status	unit0119_recheck_reasons	unit0120_status	unit0120_blockers
UNIT0113-08-001	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Festival en Guararé – Los Corraleros de Majagual	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Festival en Guararé	Los Corraleros de Majagual	split	group		GRP0088	Los Corraleros De Majagual	recovered_entity	Festival en Guararé	Los Corraleros de Majagual		GRP0088	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-002	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Playas Marinas – Calixto Ochoa y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Playas Marinas	Calixto Ochoa y Su Conjunto	split	group		GRP0265	Calixto Ochoa y Su Conjunto	recovered_entity	Playas Marinas	Calixto Ochoa y Su Conjunto		GRP0265	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-003	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Te Llevaré – Lisandro Meza y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Te Llevaré	Lisandro Meza y Su Conjunto	split	group		GRP0266	Lisandro Meza y Su Conjunto	recovered_entity	Te Llevaré	Lisandro Meza y Su Conjunto		GRP0266	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-004	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Celos de Amor – Armando Hernández con el Combo Caribe	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Celos de Amor	Armando Hernández con el Combo Caribe	split	group		GRP0267	Armando Hernández con el Combo Caribe	recovered_entity	Celos de Amor	Armando Hernández con el Combo Caribe		GRP0267	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-005	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Esta Noche es Mía – Alfredo Gutiérrez y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Esta Noche es Mía	Alfredo Gutiérrez y Su Conjunto	split	group		GRP0268	Alfredo Gutiérrez y Su Conjunto	recovered_entity	Esta Noche es Mía	Alfredo Gutiérrez y Su Conjunto		GRP0268	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-006	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Mata E Caña – Calixto Ochoa y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Mata E Caña	Calixto Ochoa y Su Conjunto	split	group		GRP0265	Calixto Ochoa y Su Conjunto	recovered_entity	Mata E Caña	Calixto Ochoa y Su Conjunto		GRP0265	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-007	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Entre Rejas – Lisandro Meza y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Entre Rejas	Lisandro Meza y Su Conjunto	split	group		GRP0266	Lisandro Meza y Su Conjunto	recovered_entity	Entre Rejas	Lisandro Meza y Su Conjunto		GRP0266	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-008	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	La Zenaida – Armando Hernández con el Combo Caribe	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	La Zenaida	Armando Hernández con el Combo Caribe	split	group		GRP0267	Armando Hernández con el Combo Caribe	recovered_entity	La Zenaida	Armando Hernández con el Combo Caribe		GRP0267	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-009	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Dos Mujeres – Alfredo Gutiérrez y Su Conjunto	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Dos Mujeres	Alfredo Gutiérrez y Su Conjunto	split	group		GRP0268	Alfredo Gutiérrez y Su Conjunto	recovered_entity	Dos Mujeres	Alfredo Gutiérrez y Su Conjunto		GRP0268	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-08-010	SRC0002	8	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	Varios Artistas	Los Sabanales – Los Corraleros de Majagual	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000008	partial_10_of_15	description_tab	Los Sabanales	Los Corraleros de Majagual	split	group		GRP0088	Los Corraleros De Majagual	recovered_entity	Los Sabanales	Los Corraleros de Majagual		GRP0088	review_required	partial_source_tracklist	promotion_candidate	
