batch_recording_id	promotion_status	master_recording_id	recording_title	canonical_song_id	primary_group_id	primary_performer_id	release_id	label_id	match_basis	source_id	source_name	source_url	release_candidate_id	release_title	release_interpreter	release_genre	release_format	release_year	reference_number	side	track_number	global_track_number	raw_track_title	artist_text	source_reference	evidence_text	confidence	review_status
SRC0002-B0004-REC021	NEW	REC005620	El Carretero	SONG001099			REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		1	21	El Carretero	Guillermo Portabales	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-1	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='1', raw_track='El Carretero'	high	staged_for_review
SRC0002-B0004-REC022	NEW	REC005621	Malao de Caña	SONG004268	GRP0001		REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		2	22	Malao de Caña	La Sonora Matancera	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-2	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='2', raw_track='Malao de Caña'	high	staged_for_review
SRC0002-B0004-REC023	NEW	REC005622	El Que Siembra Su Maíz	SONG004269	GRP0269		REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		3	23	El Que Siembra Su Maíz	Orquesta de Bebo Valdés	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-3	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='3', raw_track='El Que Siembra Su Maíz'	high	staged_for_review
SRC0002-B0004-REC024	NEW	REC005623	A San Lázaro (Babalú)	SONG004270			REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		4	24	A San Lázaro (Babalú)	Celina y Reutilio	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-4	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='4', raw_track='A San Lázaro (Babalú)'	high	staged_for_review
SRC0002-B0004-REC025	NEW	REC005624	Lupita	SONG004271	GRP0270		REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		5	25	Lupita	Fruko y Orquesta	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-5	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='5', raw_track='Lupita'	high	staged_for_review
SRC0002-B0004-REC026	NEW	REC005625	Yo Tengo Pena	SONG004272	GRP0271		REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		6	26	Yo Tengo Pena	Los Compadres	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-6	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='6', raw_track='Yo Tengo Pena'	high	staged_for_review
SRC0002-B0004-REC027	NEW	REC005626	Mira Que Eres Linda	SONG002596			REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		7	27	Mira Que Eres Linda	Roberto Ledesma	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-7	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='7', raw_track='Mira Que Eres Linda'	high	staged_for_review
SRC0002-B0004-REC028	NEW	REC005627	Alegre Petición	SONG004273	GRP0004		REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		8	28	Alegre Petición	Trío Matamoros	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-8	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='8', raw_track='Alegre Petición'	high	staged_for_review
SRC0002-B0004-REC029	NEW	REC005628	Nuevamente	SONG002850			REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		9	29	Nuevamente	Orlando Contreras	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-9	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='9', raw_track='Nuevamente'	high	staged_for_review
SRC0002-B0004-REC030	NEW	REC005629	Adiós Compay Gato	SONG004274	GRP0272		REL000012	LBL000004	no_exact_title_artist_match	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	SRC0002-B0004-REL004	Colección 100 Éxitos de Música Cubana	Varios Artistas	Tropical	USB		GE5029		10	30	Adiós Compay Gato	Los Guaracheros de Oriente	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/#track-10	Discos Fuentes shop product page: release='Colección 100 Éxitos de Música Cubana', track='10', raw_track='Adiós Compay Gato'	high	staged_for_review
