batch_song_id	source_id	source_name	source_url	canonical_song_title_candidate	raw_track_title	release_candidate_id	release_title	side	track_number	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-SONG024	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	Arbolito de Navidad	Arbolito de Navidad	SRC0002-B0003-REL002	LP - Historia Musical	B	6	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/#track-B6	Discos Fuentes shop product page: release='LP - Historia Musical', track='B6', raw_track='Arbolito de Navidad'	high	staged_for_review
SRC0002-B0003-SONG025	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	El Sofá	El Sofá	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-1	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='1', raw_track='El Sofá'	high	staged_for_review
SRC0002-B0003-SONG026	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Quién Será	Quién Será	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-2	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='2', raw_track='Quién Será'	high	staged_for_review
SRC0002-B0003-SONG027	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Burundanga	Burundanga	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-3	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='3', raw_track='Burundanga'	high	staged_for_review
SRC0002-B0003-SONG028	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Todo Me Gusta de Ti	Todo Me Gusta de Ti	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-4	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='4', raw_track='Todo Me Gusta de Ti'	high	staged_for_review
SRC0002-B0003-SONG029	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	El Mambo es Universal	El Mambo es Universal	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-5	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='5', raw_track='El Mambo es Universal'	high	staged_for_review
SRC0002-B0003-SONG030	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Cuando Tú Seas Mía	Cuando Tú Seas Mía	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-6	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='6', raw_track='Cuando Tú Seas Mía'	high	staged_for_review
SRC0002-B0003-SONG031	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Oye Mima	Oye Mima	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-7	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='7', raw_track='Oye Mima'	high	staged_for_review
SRC0002-B0003-SONG032	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Desesperación	Desesperación	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-8	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='8', raw_track='Desesperación'	high	staged_for_review
SRC0002-B0003-SONG033	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Quedé Zaina	Quedé Zaina	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-9	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='9', raw_track='Quedé Zaina'	high	staged_for_review
SRC0002-B0003-SONG034	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	Historia de Un Amor	Historia de Un Amor	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera		10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/#track-10	Discos Fuentes shop product page: release='Colección 100 Exitos de La Sonora Matancera', track='10', raw_track='Historia de Un Amor'	high	staged_for_review
SRC0002-B0003-SONG035	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	A Mi Dios Todo le Debo	A Mi Dios Todo le Debo	SRC0002-B0003-REL004	Colección 100 Exitos del Siglo: Joe Arroyo		1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-1	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='1', raw_track='A Mi Dios Todo le Debo'	high	staged_for_review
SRC0002-B0003-SONG036	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	Confundido	Confundido	SRC0002-B0003-REL004	Colección 100 Exitos del Siglo: Joe Arroyo		2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/#track-2	Discos Fuentes shop product page: release='Colección 100 Exitos del Siglo: Joe Arroyo', track='2', raw_track='Confundido'	high	staged_for_review
