artist_text	batch_recording_id	confidence	evidence_text	global_track_number	label_name	raw_track_title	recording_title	reference_number	release_candidate_id	release_format	release_genre	release_interpreter	release_title	release_year	review_status	side	source_id	source_name	source_reference	source_url	track_number
Varios Artistas	SRC0002-B0004-REC032	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='2', raw_track='Quiero Ser Feliz'	32	Discos Fuentes	Quiero Ser Feliz	Quiero Ser Feliz	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	2
Varios Artistas	SRC0002-B0004-REC033	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='3', raw_track='Amor Serrano'	33	Discos Fuentes	Amor Serrano	Amor Serrano	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	3
Varios Artistas	SRC0002-B0004-REC034	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='4', raw_track='Plegaria'	34	Discos Fuentes	Plegaria	Plegaria	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	4
Varios Artistas	SRC0002-B0004-REC035	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='5', raw_track='Capullo De Rosa Blanca'	35	Discos Fuentes	Capullo De Rosa Blanca	Capullo De Rosa Blanca	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	5
Varios Artistas	SRC0002-B0004-REC036	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='6', raw_track='El Bailador'	36	Discos Fuentes	El Bailador	El Bailador	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	6
Varios Artistas	SRC0002-B0004-REC037	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='7', raw_track='Cumbia Árabe'	37	Discos Fuentes	Cumbia Árabe	Cumbia Árabe	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	7
Varios Artistas	SRC0002-B0004-REC038	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='8', raw_track='La Boquitrompona'	38	Discos Fuentes	La Boquitrompona	La Boquitrompona	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	8
Varios Artistas	SRC0002-B0004-REC039	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='9', raw_track='El Porteñito'	39	Discos Fuentes	El Porteñito	El Porteñito	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	9
Varios Artistas	SRC0002-B0004-REC040	high	Discos Fuentes shop product page: release='Colección 100 - Que Viva Diciembre', track='10', raw_track='La Cerveza'	40	Discos Fuentes	La Cerveza	La Cerveza	GE5028	SRC0002-B0004-REL005	USB	Tropical	Varios Artistas	Colección 100 - Que Viva Diciembre		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	10
Pacho Galán y Su Orquesta	SRC0002-B0004-REC041	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='1', raw_track='La Sombra de Tu Sonrisa'	41	Discos Fuentes	La Sombra de Tu Sonrisa	La Sombra de Tu Sonrisa	GE5015	SRC0002-B0004-REL009	USB	Tropical	Varios Artistas	Colección 100 Cumbias, Porros y Gaitas del Siglo		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	1
Los Cumbiamberos de Pacheco	SRC0002-B0004-REC042	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='2', raw_track='Santo Domingo'	42	Discos Fuentes	Santo Domingo	Santo Domingo	GE5015	SRC0002-B0004-REL009	USB	Tropical	Varios Artistas	Colección 100 Cumbias, Porros y Gaitas del Siglo		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	2
Los Corraleros de Majagual	SRC0002-B0004-REC043	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='3', raw_track='El Toro Miura'	43	Discos Fuentes	El Toro Miura	El Toro Miura	GE5015	SRC0002-B0004-REL009	USB	Tropical	Varios Artistas	Colección 100 Cumbias, Porros y Gaitas del Siglo		staged_for_review		SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	3
