song_id	canonical_song_title	alternate_titles	composer	lyricist	country	language	source_id	confidence	review_status	created_at	updated_at
SONG004520	14. Ni Cuerpo Ni Corazon					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004521	15. Adios Adios Corazon					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004522	16. Pelaita					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004523	17. Sin Corazon En El Pecho					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004524	18. Carola					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004525	19. La Cuñadita					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004526	20. Cara Carita					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004527	1. El Lunarcito					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004528	2. Dile					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004529	3. Yo No Fui					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004530	4. Perdido Y Borracho					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004531	5. La Suegra					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004532	6. Donde Estas Mariana					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004533	7. Ya Para Que					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004534	8. Penas Por Un Amor					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004535	9. Linda Rosa					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004536	11. Que Regrese					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004537	12. Voy Cantando					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004538	13. El Casado Arrepentido					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004539	14. Cumbia Marinera					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004540	15. El Maestro					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004541	16. El Tizon					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004542	17. Manuelito Barrios					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004543	18. Casi Casi					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004544	19. Entonces Cuando					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004545	20. La Bandolera					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004546	1. Ya Se Marcho					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004547	2. Masculino Y Femenino					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004548	3. El Cangrejito Enamorado					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004549	4. Se La Llevo El Tren					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004550	5. Lorenza					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004551	6. Linda Muchachita					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004552	7. Carita De Cielo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004553	8. Amor Por Computadora					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004554	9. La Burra Y La Chiva					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004555	10. Mi Cumbion					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004556	12. Los Algodones					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004557	13. El Pescador Triste					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004558	14. El Telefono					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004559	15. Mi Primavera					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004560	16. La Revancha					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004561	17. Cinturita De Jabon					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004562	18. Fiesta De Cumpleaños					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004563	19. El Escorpion					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004564	20. La Bruja					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004565	1. Que No Quede Huella					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004566	2. No Peliemos Tanto					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004567	3. El Lamento De Tu Voz					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004568	4. Limoncito Con Ron					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004569	5. Borremos El Pasado					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004570	6. El Baile Del Brinquito					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004571	7. Tengo Celos					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004572	8. Brisa Sala					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004573	9. El Ciclon					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004574	10. El Jardinero					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004575	11. La Hamaca Raya					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004576	12. Se Va La Vida					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004577	13. Muchachita Del Oriente					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004578	14. Ya Voy Hacia Ti					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004579	15. Lindo Clavelito					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004580	16. Negra Candela					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004581	17. No Me Alcanza					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004582	18. Veinte Años					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004583	19. La Ladrona					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004584	20. Provinciana					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
